"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.01.2020","3.690,78","3.717,93","3.717,93","3.676,66","42,46M","-1,22%"
"29.01.2020","3.736,36","3.717,64","3.743,26","3.715,74","36,47M","0,46%"
"28.01.2020","3.719,22","3.684,69","3.722,71","3.671,74","37,48M","1,13%"
"27.01.2020","3.677,84","3.754,63","3.754,63","3.673,80","44,84M","-2,68%"
"24.01.2020","3.779,16","3.744,75","3.795,33","3.744,75","31,73M","1,13%"
"23.01.2020","3.736,85","3.764,10","3.770,01","3.734,06","33,33M","-0,87%"
"22.01.2020","3.769,79","3.792,05","3.802,68","3.765,49","32,48M","-0,51%"
"21.01.2020","3.789,12","3.786,26","3.789,12","3.760,36","27,59M","-0,26%"
"20.01.2020","3.799,03","3.804,74","3.805,61","3.791,51","20,83M","-0,24%"
"17.01.2020","3.808,26","3.780,54","3.813,80","3.780,54","33,00M","0,90%"
"16.01.2020","3.774,14","3.770,96","3.785,67","3.758,55","17,58M","0,14%"
"15.01.2020","3.768,96","3.774,93","3.778,94","3.755,30","33,41M","-0,16%"
"14.01.2020","3.774,88","3.779,35","3.783,76","3.745,47","33,07M","-0,13%"
"13.01.2020","3.779,68","3.789,87","3.798,58","3.768,45","27,51M","-0,26%"
"10.01.2020","3.789,52","3.801,12","3.803,91","3.786,93","27,40M","-0,17%"
"09.01.2020","3.795,88","3.782,77","3.807,09","3.782,77","33,48M","0,62%"
"08.01.2020","3.772,56","3.752,87","3.775,43","3.732,90","34,99M","0,35%"
"07.01.2020","3.759,25","3.760,09","3.784,42","3.748,13","29,85M","0,18%"
"06.01.2020","3.752,52","3.764,34","3.764,34","3.710,94","28,34M","-0,55%"
"03.01.2020","3.773,37","3.787,57","3.787,57","3.745,54","30,34M","-0,52%"
"02.01.2020","3.793,24","3.754,24","3.801,13","3.754,24","29,92M","1,28%"
"31.12.2019","3.745,15","3.746,61","3.749,10","3.738,45","22,07M","-0,09%"
"30.12.2019","3.748,47","3.780,44","3.780,44","3.748,47","18,68M","-0,89%"
"27.12.2019","3.782,27","3.776,82","3.794,93","3.775,26","24,44M","0,21%"
"24.12.2019","3.774,39","3.774,13","3.774,66","3.770,91","15,42M","-0,06%"
"23.12.2019","3.776,66","3.775,07","3.778,98","3.767,80","23,06M","0,00%"
"20.12.2019","3.776,56","3.740,71","3.776,56","3.738,22","84,85M","1,00%"
"19.12.2019","3.739,17","3.741,53","3.747,34","3.722,57","35,61M","0,00%"
"18.12.2019","3.739,00","3.744,00","3.755,81","3.739,00","33,48M","-0,17%"
"17.12.2019","3.745,28","3.769,14","3.769,14","3.742,62","37,23M","-0,73%"
"16.12.2019","3.772,74","3.738,91","3.778,47","3.738,91","30,02M","1,12%"
"13.12.2019","3.731,07","3.720,65","3.765,70","3.720,65","49,28M","0,67%"
"12.12.2019","3.706,35","3.689,67","3.723,60","3.675,63","40,50M","0,51%"
"11.12.2019","3.687,45","3.667,45","3.692,11","3.659,53","26,62M","0,43%"
"10.12.2019","3.671,78","3.671,97","3.675,88","3.625,00","28,58M","-0,01%"
"09.12.2019","3.672,18","3.691,86","3.691,86","3.671,07","26,45M","-0,55%"
"06.12.2019","3.692,34","3.653,23","3.692,71","3.653,23","29,11M","1,21%"
"05.12.2019","3.648,13","3.663,00","3.683,07","3.648,13","25,38M","-0,32%"
"04.12.2019","3.660,02","3.611,95","3.665,90","3.611,95","32,16M","1,36%"
"03.12.2019","3.610,99","3.635,15","3.647,52","3.594,80","37,67M","-0,43%"
"02.12.2019","3.626,66","3.703,76","3.729,74","3.623,12","44,66M","-2,08%"
"29.11.2019","3.703,58","3.699,34","3.719,83","3.686,94","28,77M","-0,02%"
"28.11.2019","3.704,48","3.707,05","3.708,16","3.698,22","20,88M","-0,23%"
"27.11.2019","3.712,85","3.708,71","3.721,76","3.704,49","27,54M","0,20%"
"26.11.2019","3.705,55","3.708,43","3.711,75","3.694,70","42,78M","-0,06%"
"25.11.2019","3.707,68","3.697,49","3.710,87","3.697,49","23,58M","0,55%"
"22.11.2019","3.687,32","3.682,22","3.709,88","3.682,22","31,89M","0,21%"
"21.11.2019","3.679,66","3.675,75","3.688,37","3.651,51","30,18M","-0,11%"
"20.11.2019","3.683,88","3.688,86","3.688,86","3.663,21","30,77M","-0,34%"
"19.11.2019","3.696,56","3.704,88","3.733,45","3.688,59","29,83M","-0,23%"
